date,level,applicationName,instanceId,eventTickCount,eventId,pid,tid,message,activityId
2016-05-19T06:02:44,Information,dummyweb,e1c7e8,635992345643269332,0,6012,132,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:07:44,Information,dummyweb,e1c7e8,635992348646278462,0,6012,3,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:12:44,Information,dummyweb,e1c7e8,635992351649695615,0,6012,10,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:17:45,Information,dummyweb,e1c7e8,635992354653704140,0,6012,10,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:18:40,Information,dummyweb,e1c7e8,635992355207134110,0,6012,109,"5/19/2016 6:18:40 AM: 2e0fc62c-03dc-4775-90fe-c3287aea37b6 - AcquireTokenHandlerBase: === Token Acquisition started:
	Authority: https://login.windows.net/12345678-1234-5678-1234-123456789012/
	Resource: 12345678-1234-5678-1234-123456789012
	ClientId: 12345678-1234-5678-1234-123456789012
	CacheType: Microsoft.IdentityModel.Clients.ActiveDirectory.TokenCache (4 items)
	Authentication Target: UserPlusClient
	",00000000-0000-0000-b304-0080030000f3
2016-05-19T06:18:41,Information,dummyweb,e1c7e8,635992355212446453,0,6012,45,"5/19/2016 6:18:41 AM: 2e0fc62c-03dc-4775-90fe-c3287aea37b6 - AcquireTokenHandlerBase: === Token Acquisition finished successfully. An access token was retuned:
	Access Token Hash: 00cKpdZRYsUS91mzJasKBxdFyc7fnJgk2Qqp3RJ15ns=
	Refresh Token Hash: 614GIHr0rV7dClK+R66V8NopynncxejubvoAIHihXb8=
	Expiration Time: 5/19/2016 7:18:41 AM +00:00
	User Hash: null
	",00000000-0000-0000-b304-0080030000f3

2016-05-19T06:18:42,Information,dummyweb,e1c7e8,635992355229249164,0,6012,47,"5/19/2016 6:18:42 AM: eabf5f20-b194-48d9-bed2-1bd7fe401934 - AcquireTokenHandlerBase: === Token Acquisition started:
	Authority: https://login.windows.net/12345678-1234-5678-1234-123456789012/
	Resource: 12345678-1234-5678-1234-123456789012
	ClientId: 12345678-1234-5678-1234-123456789012
	CacheType: Microsoft.IdentityModel.Clients.ActiveDirectory.TokenCache (4 items)
	Authentication Target: UserPlusClient
	",00000000-0000-0000-d700-0080000000f4
2016-05-19T06:18:43,Information,dummyweb,e1c7e8,635992355231749169,0,6012,45,"5/19/2016 6:18:43 AM: eabf5f20-b194-48d9-bed2-1bd7fe401934 - AcquireTokenHandlerBase: === Token Acquisition finished successfully. An access token was retuned:
	Access Token Hash: c2c1bDOcGQqkOjHN2pVjXqDfWZEOEWuReKElpy/iN5U=
	Refresh Token Hash: uf7iNc6p4gEkpOZOEiIm+B4z/lvqqx12eqgGSdcLmCc=
	Expiration Time: 5/19/2016 7:18:42 AM +00:00
	User Hash: null
	",00000000-0000-0000-d700-0080000000f4
2016-05-19T06:20:23,Error,dummyweb,e1c7e8,635992356232290029,0,6012,63,"System.AggregateException: One or more errors occurred. ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   --- End of inner exception stack trace ---
   at System.Threading.Tasks.Task.ThrowIfExceptional(Boolean includeTaskCanceledExceptions)
   at System.Threading.Tasks.Task`1.GetResultCore(Boolean waitCompletionNotification)
   at System.Threading.Tasks.Task`1.get_Result()
   at Dummy.Web.Controllers.Base.BaseController.<>c__DisplayClass8_0.<<RefreshMobileServiceClient>b__0>d.MoveNext()
---> (Inner Exception #0) System.Threading.Tasks.TaskCanceledException: A task was canceled.<---
",00000000-0000-0000-d700-0080000000f4
2016-05-19T06:20:23,Error,dummyweb,e1c7e8,635992356232445965,0,6012,48,"System.AggregateException: One or more errors occurred. ---> System.Exception: RefreshMobileServiceClient is failed
   at Dummy.Web.Controllers.Base.BaseController.<>c__DisplayClass8_0.<<RefreshMobileServiceClient>b__0>d.MoveNext()
   --- End of inner exception stack trace ---
   at System.Threading.Tasks.Task.ThrowIfExceptional(Boolean includeTaskCanceledExceptions)
   at System.Threading.Tasks.Task.Wait(Int32 millisecondsTimeout, CancellationToken cancellationToken)
   at Dummy.Web.Controllers.Base.BaseController.RefreshMobileServiceClient(RequestContext requestContext)
---> (Inner Exception #0) System.Exception: RefreshMobileServiceClient is failed
   at Dummy.Web.Controllers.Base.BaseController.<>c__DisplayClass8_0.<<RefreshMobileServiceClient>b__0>d.MoveNext()<---
",00000000-0000-0000-d700-0080000000f4

2016-05-19T06:22:45,Information,dummyweb,e1c7e8,635992357656691494,0,6012,10,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:27:45,Information,dummyweb,e1c7e8,635992360659627721,0,6012,10,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:32:46,Information,dummyweb,e1c7e8,635992363662167599,0,6012,132,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:37:46,Information,dummyweb,e1c7e8,635992366665159218,0,6012,3,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:42:47,Information,dummyweb,e1c7e8,635992369671678349,0,6012,3,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:47:47,Information,dummyweb,e1c7e8,635992372677320310,0,6012,3,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:52:47,Information,dummyweb,e1c7e8,635992375678551716,0,6012,3,Redirecting: https://dummyweb.azurewebsites.net/,
2016-05-19T06:57:48,Information,dummyweb,e1c7e8,635992378680467089,0,6012,10,Redirecting: https://dummyweb.azurewebsites.net/,
